recipe_id,calories,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,vitamin_a_percent,vitamin_c_percent,calcium_percent,iron_percent
RCP02934,498,8,58,22,4,12,1311,68,8,55,6,36
RCP02935,286,10,67,18,12,16,985,79,5,16,9,32
RCP02936,244,27,63,16,10,6,478,42,10,53,23,15
RCP02937,772,45,68,24,11,3,276,74,14,22,24,38
RCP02938,690,7,66,22,13,15,869,0,20,58,24,22
RCP02939,211,11,58,15,7,19,863,0,34,14,7,36
RCP02940,398,30,68,23,11,3,690,2,35,49,28,29
RCP02941,177,26,45,34,13,2,1029,80,38,55,7,15
RCP02942,320,40,71,20,7,5,1461,2,33,57,22,20
RCP02943,551,8,42,19,9,12,695,95,16,57,16,19
RCP02944,560,19,66,25,6,12,1491,76,39,52,26,39
RCP02945,738,17,62,16,11,17,1254,0,8,41,14,38
RCP02946,449,44,59,33,5,17,1100,42,25,47,5,16
RCP02947,695,42,76,19,11,10,775,8,34,13,28,15
RCP02948,739,26,54,33,5,8,1170,67,19,44,27,37
RCP02949,310,18,72,19,7,2,212,20,11,49,9,35
RCP02950,743,26,30,28,4,5,348,70,5,28,21,11
RCP02951,767,24,60,39,10,2,824,12,37,31,26,19
RCP02952,344,28,43,35,8,10,1051,81,16,30,21,37
RCP02953,196,30,48,27,13,14,1285,94,9,10,9,12
RCP02954,220,14,51,22,2,10,1092,55,19,58,22,16
RCP02955,414,47,33,21,13,8,568,36,27,40,17,22
RCP02956,464,14,59,15,3,8,1203,0,36,8,23,22
RCP02957,698,36,38,17,7,14,217,0,16,5,10,27
RCP02958,333,46,78,36,10,14,746,25,26,59,16,20
RCP02959,307,28,39,22,6,3,916,21,33,12,17,16
RCP02960,592,48,44,20,3,16,295,36,27,29,9,25
RCP02961,375,6,59,28,10,19,1005,26,7,33,18,10
RCP02962,553,13,53,23,11,5,1365,53,34,54,18,11
RCP02963,172,10,74,20,4,8,563,0,12,48,9,36
RCP02964,636,41,53,15,14,11,1119,68,20,56,7,35
RCP02965,476,24,45,33,12,6,528,5,31,6,17,25
RCP02966,718,26,32,29,11,15,283,58,7,49,24,10
RCP02967,276,22,68,19,7,7,664,22,11,53,14,14
RCP02968,748,21,52,28,12,4,883,65,38,9,6,36
RCP02969,600,10,49,29,4,8,726,92,11,27,15,34
RCP02970,604,41,68,24,13,18,1367,57,11,33,8,31
RCP02971,510,38,44,20,2,11,650,46,24,14,11,28
RCP02972,492,35,61,33,12,15,1076,25,34,47,11,35
RCP02973,388,47,68,32,12,14,385,79,21,53,14,24
RCP02974,367,31,71,24,2,14,581,21,21,59,27,12
RCP02975,639,5,37,24,9,14,770,30,28,8,9,29
RCP02976,777,39,70,37,4,4,393,75,16,5,8,38
RCP02977,699,40,50,31,6,12,525,99,15,59,13,13
RCP02978,689,42,46,31,6,3,815,51,13,53,29,10
RCP02979,760,26,75,34,14,6,576,8,13,14,8,24
RCP02980,196,43,51,39,2,3,355,0,35,17,17,37
RCP02981,530,6,35,18,6,6,774,21,10,59,26,14
RCP02982,784,45,73,31,7,15,648,93,17,33,29,30
RCP02983,302,33,69,17,11,6,1310,38,7,19,21,16
RCP02984,549,26,40,22,14,8,1278,14,33,49,20,37
RCP02985,275,12,63,10,14,14,1016,8,9,58,17,14
RCP02986,229,5,71,26,8,13,1455,27,32,53,21,31
RCP02987,289,47,45,19,9,17,925,67,5,32,19,12
RCP02988,216,14,35,16,11,5,1476,80,18,39,8,11
RCP02989,236,9,50,15,12,3,1144,2,12,25,13,17
RCP02990,214,17,72,22,4,3,244,91,36,29,8,39
RCP02991,780,19,53,28,5,11,222,0,5,29,26,35
RCP02992,575,9,73,19,12,17,1311,16,23,40,16,39
RCP02993,222,15,76,11,13,15,1224,86,31,28,14,11
RCP02994,204,16,50,13,7,18,454,24,30,59,25,28
RCP02995,500,35,54,23,6,3,205,80,31,14,29,20
RCP02996,245,20,52,33,4,18,269,46,30,54,11,10
RCP02997,388,47,63,17,5,9,935,17,17,33,27,22
RCP02998,541,10,52,21,10,2,214,66,39,22,29,19
RCP02999,577,9,38,11,6,12,1402,83,27,23,11,17
RCP03000,707,47,38,38,5,14,1413,12,14,6,14,27
RCP03001,251,32,73,35,6,4,1316,0,21,14,5,17
RCP03002,254,37,37,38,9,9,214,93,24,23,20,16
RCP03003,701,46,73,22,2,12,1484,77,10,27,24,29
RCP03004,558,39,62,26,3,13,1456,38,5,6,11,25
RCP03005,230,8,47,10,8,19,415,0,16,7,23,30
RCP03006,312,20,49,15,3,11,1218,41,39,12,26,26
RCP03007,438,10,50,19,6,11,489,25,16,27,26,26
RCP03008,467,38,43,32,2,7,561,42,15,40,17,14
RCP03009,186,23,40,30,5,11,765,30,9,37,14,30
RCP03010,219,18,67,14,8,15,368,21,22,53,23,10
RCP03011,482,46,68,38,2,15,390,32,35,24,25,35
RCP03012,473,25,59,29,4,16,613,63,7,29,6,13
RCP03013,551,27,39,34,2,19,208,99,31,27,28,35
RCP03014,572,12,66,24,10,4,366,0,22,56,19,19
RCP03015,431,5,48,24,3,15,1431,12,37,32,6,30
RCP03016,566,13,52,14,6,8,481,26,7,40,18,17
RCP03017,707,42,51,37,14,2,239,28,26,17,26,28
RCP03018,209,6,47,19,3,2,600,24,23,10,8,24
RCP03019,436,38,74,28,5,2,1144,68,17,57,16,10
RCP03020,414,48,59,23,14,17,1160,71,20,50,26,24
RCP03021,494,49,78,21,14,9,617,68,38,51,21,23
RCP03022,694,5,36,22,13,8,1395,47,21,51,28,34
RCP03023,617,35,78,18,11,8,1148,88,13,16,6,25
RCP03024,513,11,62,15,4,6,1444,27,18,12,27,36
RCP03025,352,15,69,23,13,13,1492,36,13,21,14,20
RCP03026,707,44,35,34,5,5,618,84,31,52,24,36
RCP03027,170,39,58,33,3,14,1421,6,22,18,26,39
RCP03028,694,23,53,29,9,12,456,0,25,26,25,23
RCP03029,174,24,54,33,12,18,819,88,32,22,21,36
RCP03030,661,35,67,19,10,9,288,20,6,46,25,18
RCP03031,241,24,31,36,12,16,317,47,21,17,6,36
RCP03032,482,32,30,36,7,4,554,76,26,48,21,15
RCP03033,247,44,35,30,4,7,450,0,31,21,22,26
RCP03034,703,9,76,20,8,18,1425,27,35,45,7,28
RCP03035,251,14,61,10,3,8,1093,0,19,53,10,20
RCP03036,166,29,37,31,3,3,214,38,6,48,9,33
RCP03037,275,10,65,16,7,7,604,64,36,21,25,38
RCP03038,522,17,38,21,10,17,661,91,21,42,23,10
RCP03039,392,27,71,36,9,14,875,0,14,43,27,39
RCP03040,263,34,45,39,13,11,753,67,9,48,22,30
RCP03041,524,25,43,28,10,19,485,31,31,31,15,28
RCP03042,767,22,55,34,7,2,571,91,38,44,24,17
RCP03043,685,12,65,13,8,14,575,99,7,58,10,28
RCP03044,524,44,52,23,14,13,1470,47,38,25,8,27
RCP03045,614,35,57,26,8,3,1227,42,14,58,16,21
RCP03046,674,30,58,32,5,16,466,89,36,51,8,12
RCP03047,302,27,35,36,12,6,1140,48,20,27,17,30
RCP03048,424,13,57,16,11,14,829,54,11,37,28,27
RCP03049,487,31,56,24,11,14,1163,90,33,29,10,15
RCP03050,542,41,76,15,9,5,876,34,14,19,15,15
RCP03051,156,10,62,13,9,17,466,61,12,28,11,13
RCP03052,700,16,59,21,13,2,348,25,24,17,10,12
RCP03053,564,38,76,18,3,18,1263,52,22,52,20,22
RCP03054,756,7,53,15,12,4,1475,24,12,28,23,39
RCP03055,222,41,44,22,3,7,625,18,9,24,6,10
RCP03056,339,23,66,32,9,3,948,28,15,29,10,12
RCP03057,334,39,54,23,2,18,487,14,28,8,8,21
RCP03058,731,31,75,25,4,11,443,29,27,32,10,33
RCP03059,223,43,30,21,5,15,1154,0,8,5,8,30
RCP03060,541,21,40,33,12,16,1214,26,37,9,12,21
RCP03061,346,5,46,11,9,17,362,74,31,50,16,19
RCP03062,352,24,31,23,11,6,1488,15,7,10,15,34
RCP03063,607,40,52,31,14,16,406,86,10,10,6,37
RCP03064,459,12,63,27,4,10,1082,69,30,44,8,25
RCP03065,551,19,78,17,6,12,1401,72,22,11,28,27
RCP03066,596,22,40,22,3,3,846,32,23,39,14,14
RCP03067,291,42,43,39,14,13,1393,55,31,45,16,22
RCP03068,418,15,36,24,2,2,344,20,33,36,20,22
RCP03069,412,15,68,10,9,3,256,70,28,44,26,10
RCP03070,561,47,31,31,10,10,1498,12,24,37,14,16
RCP03071,570,34,66,17,6,16,1047,19,34,57,17,18
RCP03072,677,13,74,28,4,11,458,84,29,13,10,21
RCP03073,739,36,30,36,12,16,408,68,36,12,28,24
RCP03074,301,47,74,22,14,12,1002,71,9,55,12,29
RCP03075,376,15,37,16,3,2,500,93,31,56,7,27
RCP03076,725,38,33,27,7,10,733,61,7,7,6,17
RCP03077,656,31,48,20,8,14,1065,60,37,50,5,19
RCP03078,169,36,38,33,8,17,1077,98,14,27,26,38
RCP03079,499,47,58,29,12,19,1058,46,20,40,6,33
RCP03080,453,5,58,23,14,7,768,28,35,56,24,17
RCP03081,424,9,54,19,11,6,1347,12,25,36,21,15
RCP03082,497,6,79,24,4,18,1374,5,24,33,19,18
RCP03083,199,40,68,18,2,8,805,16,38,26,18,28
RCP03084,683,36,36,15,5,6,420,54,39,31,25,22
RCP03085,510,15,31,19,9,16,1077,57,27,49,6,39
RCP03086,593,33,54,23,5,15,638,89,10,52,28,18
RCP03087,469,22,35,28,7,2,220,37,10,53,7,15
RCP03088,562,9,52,22,6,18,1101,66,9,27,6,39
RCP03089,234,27,40,22,8,4,1482,0,29,21,5,10
RCP03090,566,21,43,35,9,17,276,88,34,49,17,38
RCP03091,529,35,46,17,9,19,1394,22,20,43,6,27
RCP03092,390,28,58,26,14,2,303,53,12,45,23,37
RCP03093,218,31,69,25,10,12,970,5,25,52,7,25
RCP03094,474,27,35,27,7,3,475,72,19,41,6,16
RCP03095,462,40,62,37,13,15,846,54,37,49,13,26
RCP03096,347,14,44,10,7,9,500,21,12,45,21,25
RCP03097,690,10,73,28,10,11,397,99,37,26,9,13
RCP03098,357,39,43,39,11,13,328,84,9,44,9,21
RCP03099,356,47,30,20,14,4,803,20,26,39,14,38
RCP03100,389,43,62,35,5,16,1094,25,39,49,19,37
RCP03101,795,24,65,27,2,18,1344,45,22,6,12,36
RCP03102,578,18,39,21,4,10,310,79,11,37,21,16
RCP03103,595,19,56,14,10,12,1065,41,35,32,16,10
RCP03104,221,44,68,26,5,14,1320,38,17,7,18,36
RCP03105,472,40,59,24,2,8,1263,19,29,43,11,21
RCP03106,160,34,68,22,12,13,543,0,6,16,29,17
RCP03107,364,15,77,28,10,5,877,78,19,36,25,14
RCP03108,598,26,72,21,4,7,209,15,21,26,20,37
RCP03109,294,25,47,15,3,4,1104,0,36,21,29,28
RCP03110,540,32,44,33,2,6,377,1,17,58,10,27
RCP03111,323,16,69,21,4,14,733,46,8,7,17,22
RCP03112,423,14,64,25,3,17,850,87,23,21,23,24
RCP03113,786,13,62,28,8,7,1393,49,14,9,29,28
RCP03114,306,14,47,16,10,10,266,71,32,17,13,37
RCP03115,778,34,68,16,2,7,906,22,8,16,28,18
RCP03116,274,49,32,35,12,9,978,60,39,38,13,26
RCP03117,321,15,72,22,14,12,1342,88,19,17,17,21
RCP03118,552,42,65,22,12,10,1158,27,24,12,28,22
RCP03119,760,19,42,14,3,15,1078,96,24,20,11,37
RCP03120,192,15,68,22,13,3,1275,92,8,56,27,26
RCP03121,387,29,78,28,13,3,1070,34,20,33,16,10
RCP03122,546,9,75,25,6,2,298,0,27,30,18,12
RCP03123,209,9,40,23,4,3,277,32,39,13,10,17
RCP03124,596,29,50,15,11,5,283,0,38,46,27,36
RCP03125,574,10,67,27,2,7,1467,54,11,34,11,34
RCP03126,637,23,65,17,11,10,867,58,38,25,11,22
RCP03127,456,32,46,32,2,13,934,80,22,21,7,33
RCP03128,158,49,43,35,11,2,996,13,12,39,24,37
RCP03129,356,23,44,38,3,19,511,40,26,59,15,37
RCP03130,209,41,77,31,3,19,961,13,17,40,10,39
RCP03131,361,9,61,17,13,18,1190,23,8,5,22,15
RCP03132,159,17,63,15,12,19,1437,64,18,37,15,17
RCP03133,171,18,35,15,5,12,1023,29,11,42,28,34
RCP03134,471,14,42,11,4,13,1195,95,20,10,10,10
RCP03135,626,8,38,22,14,3,699,61,31,8,11,37
RCP03136,304,27,33,22,3,3,232,64,22,14,15,16
RCP03137,256,7,60,25,6,17,524,36,9,54,8,19
RCP03138,494,15,35,16,5,7,532,9,18,49,9,14
RCP03139,780,44,36,35,8,19,1350,29,23,21,7,36
RCP03140,453,42,53,32,10,6,1136,28,26,20,17,38
RCP03141,667,8,44,20,11,7,1195,50,15,58,8,16
RCP03142,150,33,64,27,11,7,336,14,23,24,13,30
RCP03143,718,16,76,15,12,2,615,7,39,17,28,21
RCP03144,427,36,54,18,3,8,549,53,13,39,11,16
RCP03145,413,44,53,34,12,5,366,90,12,39,27,12
RCP03146,547,36,79,24,3,13,1363,44,8,23,18,17
RCP03147,522,29,31,15,7,2,224,65,23,40,25,13
RCP03148,606,40,71,19,5,16,412,38,9,34,11,11
RCP03149,432,48,49,35,11,19,929,64,19,9,20,10
RCP03150,380,20,67,37,11,3,241,11,30,44,11,35
RCP03151,556,21,32,16,2,13,378,90,28,48,25,10
RCP03152,606,22,59,25,2,19,663,61,35,22,12,18
RCP03153,796,33,43,15,11,10,537,0,30,46,6,17
RCP03154,413,23,43,26,3,13,1108,59,21,26,5,21
RCP03155,277,17,67,29,5,5,647,79,12,52,10,39
RCP03156,260,48,37,29,7,2,474,88,32,25,23,15
RCP03157,772,21,59,26,2,17,1475,85,13,28,21,26
RCP03158,216,24,71,35,10,12,1110,61,37,7,18,38
RCP03159,371,6,69,17,13,11,346,77,5,59,24,17
RCP03160,403,36,73,20,9,17,246,92,15,10,10,28
RCP03161,413,5,70,14,10,19,367,30,35,57,25,10
RCP03162,732,20,44,15,10,13,957,81,26,48,21,27
RCP03163,436,33,41,24,3,16,690,0,24,8,29,14
RCP03164,482,34,59,27,3,2,860,0,13,37,15,11
RCP03165,156,24,70,27,4,13,1329,41,25,48,26,39
RCP03166,177,22,30,15,4,10,325,7,37,46,26,35
RCP03167,635,27,71,27,2,17,531,6,32,58,24,23
RCP03168,607,35,50,32,9,6,362,74,16,44,9,19
RCP03169,423,9,50,19,5,13,531,49,33,18,24,13
RCP03170,385,21,63,15,2,19,282,32,10,50,16,17
RCP03171,727,12,72,28,3,10,941,0,28,38,28,16
RCP03172,568,42,66,29,11,16,795,41,5,44,14,31
RCP03173,289,34,57,20,7,17,873,45,11,55,23,16
RCP03174,542,10,62,25,14,17,316,78,9,9,23,22
RCP03175,680,23,48,38,14,4,336,76,12,18,5,37
RCP03176,154,45,57,34,7,7,1103,79,25,13,24,20
RCP03177,344,5,62,22,11,9,1154,36,39,37,21,33
RCP03178,285,36,32,25,8,18,219,98,33,56,23,12
RCP03179,439,36,60,22,2,3,240,0,28,23,19,12
RCP03180,335,26,33,25,8,5,1075,77,20,45,29,27
RCP03181,497,26,47,37,10,9,913,14,34,35,16,18
RCP03182,189,31,62,35,9,3,471,0,24,51,14,26
RCP03183,455,34,66,31,3,8,806,90,21,49,20,14
RCP03184,214,45,61,37,2,6,489,57,39,49,12,24
RCP03185,587,11,30,18,6,11,316,17,23,34,9,29
RCP03186,644,39,38,39,11,6,593,0,12,17,20,17
RCP03187,681,17,75,16,10,15,681,34,28,54,26,14
RCP03188,495,34,34,32,4,7,1357,78,29,27,11,34
RCP03189,266,45,52,31,2,13,1369,24,19,48,16,30
RCP03190,223,10,57,29,2,5,1182,23,31,48,28,26
RCP03191,437,25,40,36,8,12,497,27,33,20,27,27
RCP03192,548,43,76,18,2,15,859,16,33,59,20,23
RCP03193,632,37,39,36,5,6,290,37,18,5,26,15
RCP03194,157,37,53,16,4,2,1374,6,22,19,5,23
RCP03195,678,49,44,39,5,11,691,80,30,8,26,23
RCP03196,225,37,35,36,12,3,457,94,10,28,12,17
RCP03197,456,39,43,38,12,11,251,49,5,33,6,15
RCP03198,351,26,55,24,8,11,1471,67,22,43,29,12
RCP03199,400,10,68,19,14,4,1475,41,29,32,23,17
RCP03200,360,37,62,16,9,13,627,39,35,12,13,16
RCP03201,374,9,41,23,12,14,1256,46,33,5,5,20
RCP03202,188,19,62,25,3,5,1101,39,18,52,11,13
RCP03203,782,6,66,28,6,13,359,18,12,29,5,22
RCP03204,468,38,51,29,9,10,554,1,8,17,29,16
RCP03205,749,47,51,26,12,11,844,60,5,44,21,25
RCP03206,248,31,76,25,10,16,840,16,27,17,11,19
RCP03207,159,8,57,14,12,16,1272,75,14,11,19,19
RCP03208,633,8,79,16,11,3,689,6,29,5,6,23
RCP03209,700,46,46,17,12,14,1399,52,36,51,8,10
RCP03210,328,32,33,37,9,11,531,28,9,5,23,11
RCP03211,284,39,72,19,5,12,757,52,18,38,9,34
RCP03212,454,35,61,29,7,14,1339,4,22,13,21,13
RCP03213,219,28,75,20,3,5,1068,83,16,46,28,13
RCP03214,438,45,76,27,8,7,1219,34,22,33,18,25
RCP03215,655,9,63,25,7,6,533,30,13,17,9,24
RCP03216,598,41,52,15,2,5,411,56,5,38,25,32
RCP03217,478,23,39,30,8,2,1052,96,28,21,16,12
RCP03218,367,33,67,15,13,19,815,39,13,14,22,38
RCP03219,417,11,31,13,7,6,1088,0,29,45,29,39
RCP03220,737,47,78,17,8,5,739,0,14,20,13,20
RCP03221,615,46,64,32,8,12,768,15,33,56,16,14
RCP03222,744,9,37,28,12,16,1396,7,35,12,26,16
RCP03223,192,23,57,17,7,19,1276,0,10,20,27,24
RCP03224,780,38,50,22,14,6,341,67,17,8,29,36
RCP03225,416,30,55,21,10,3,1296,10,7,26,22,16
RCP03226,347,38,58,22,10,3,1090,51,30,33,6,22
RCP03227,460,18,50,29,13,5,832,56,22,5,19,15
RCP03228,424,10,72,16,11,3,1262,24,20,44,29,28
RCP03229,305,38,74,25,4,5,1071,30,14,5,7,19
RCP03230,447,35,77,16,5,8,1353,94,6,17,10,37
RCP03231,738,24,66,36,13,9,562,63,29,45,23,35
RCP03232,246,21,77,32,14,6,1216,74,35,39,27,36
RCP03233,740,45,41,25,11,5,707,31,24,18,8,24
RCP03234,550,22,55,32,9,13,1087,9,33,23,17,12
RCP03235,282,39,35,21,5,8,1462,27,12,12,24,20
RCP03236,405,38,77,17,6,6,1304,90,14,56,15,32
RCP03237,327,17,78,26,4,2,1173,2,16,9,9,14
RCP03238,563,9,39,10,14,16,270,71,33,47,23,19
RCP03239,687,47,66,33,3,9,1359,31,33,53,14,11
RCP03240,510,33,49,19,12,10,886,2,22,52,21,11
RCP03241,255,40,44,19,14,13,439,80,27,39,11,37
RCP03242,446,15,74,14,3,4,741,48,11,8,24,38
RCP03243,429,8,30,25,3,11,1351,7,32,31,18,30
RCP03244,429,39,79,23,6,18,825,53,33,35,16,36
RCP03245,385,34,34,33,7,9,717,81,29,15,20,28
RCP03246,320,29,39,38,9,7,416,79,9,21,21,33
RCP03247,451,20,69,25,13,15,421,71,36,5,27,37
RCP03248,464,10,68,13,9,19,599,23,21,31,27,26
RCP03249,617,41,44,22,7,11,1490,19,14,21,7,17
RCP03250,768,20,58,39,5,10,570,21,8,5,8,39
RCP03251,640,8,63,16,9,2,333,69,13,21,23,18
RCP03252,795,45,37,35,2,6,217,0,14,17,21,36
RCP03253,707,15,31,17,6,15,943,79,38,46,13,21
RCP03254,405,49,64,36,12,15,656,47,36,34,12,25
RCP03255,318,12,64,25,2,10,1380,22,19,24,22,13
RCP03256,483,25,68,21,12,6,1264,77,31,6,12,20
RCP03257,647,6,41,20,2,7,566,7,7,18,27,28
RCP03258,474,41,58,25,2,7,664,42,29,53,14,26
RCP03259,705,10,48,16,14,6,722,85,13,40,26,10
RCP03260,412,22,77,32,6,7,972,97,32,45,12,33
RCP03261,178,12,52,18,8,10,1409,75,24,6,12,37
RCP03262,730,13,48,13,13,2,285,77,6,18,15,16
RCP03263,238,33,63,27,11,3,392,43,13,42,14,20
RCP03264,678,22,51,29,2,11,238,21,6,57,23,37
RCP03265,341,21,63,24,12,13,613,39,22,18,6,15
RCP03266,495,35,59,39,13,5,756,27,22,30,22,10
RCP03267,454,37,71,23,9,4,630,69,28,53,25,10
RCP03268,577,19,71,12,7,17,1440,2,14,8,11,13
RCP03269,520,35,75,22,6,16,289,7,9,19,7,17
RCP03270,704,47,63,30,14,8,539,66,32,37,15,28
RCP03271,655,21,71,24,14,9,489,76,16,21,7,18
RCP03272,610,22,50,34,5,17,565,73,17,42,22,27
RCP03273,220,25,71,30,9,7,756,21,7,40,7,23
RCP03274,631,44,44,15,7,14,289,80,11,27,25,10
RCP03275,189,37,63,33,7,19,389,0,15,44,16,38
RCP03276,497,26,37,33,5,7,621,56,20,46,8,27
RCP03277,206,29,79,37,4,2,1056,11,31,33,21,38
RCP03278,707,35,65,22,14,9,1300,0,12,31,16,23
RCP03279,644,33,62,32,14,15,234,71,24,28,17,33
RCP03280,319,22,34,26,11,18,832,57,38,20,9,17
RCP03281,616,14,66,25,10,5,1432,55,14,25,19,24
RCP03282,474,26,79,36,11,10,1104,47,18,32,27,16
RCP03283,435,46,68,30,10,9,498,85,36,30,7,25
RCP03284,367,41,61,35,13,8,373,10,33,53,5,19
RCP03285,556,44,67,18,12,11,1050,7,6,38,6,34
RCP03286,765,11,79,27,11,9,1002,61,25,39,17,39
RCP03287,600,17,61,10,7,2,526,6,19,29,25,33
RCP03288,773,10,69,25,11,7,684,43,26,14,15,20
RCP03289,558,45,50,28,7,6,409,79,8,23,7,10
RCP03290,618,42,35,28,11,10,907,69,17,25,20,28
RCP03291,456,32,53,39,7,11,1385,16,29,44,29,12
RCP03292,267,16,67,12,14,14,711,49,29,31,20,33
RCP03293,224,43,32,18,3,8,979,0,35,13,15,14
RCP03294,629,37,49,32,9,11,1363,41,22,31,8,33
RCP03295,512,43,36,21,6,14,657,26,33,24,5,32
RCP03296,211,35,34,32,10,12,1427,18,22,26,6,18
RCP03297,641,39,51,30,6,19,913,75,22,43,16,28
RCP03298,167,19,53,29,10,12,1057,37,15,30,29,38
RCP03299,205,20,78,33,5,4,369,62,19,26,29,19
RCP03300,651,36,50,18,3,11,1192,95,19,39,13,15
RCP03301,733,10,70,28,4,9,522,52,38,17,25,22
RCP03302,577,34,71,22,4,4,1275,75,31,56,5,36
RCP03303,608,48,66,33,7,8,534,51,16,25,18,19
RCP03304,443,49,62,27,9,14,581,50,6,16,15,37
RCP03305,235,10,79,19,10,3,1468,83,23,16,19,25
RCP03306,481,8,58,26,12,3,214,0,34,8,5,16
RCP03307,234,28,32,17,13,16,1203,54,11,32,5,32
RCP03308,182,24,39,25,12,15,1385,30,11,24,11,38
RCP03309,682,14,73,25,3,4,600,19,37,30,21,28
RCP03310,715,13,58,16,13,3,581,99,22,55,8,24
RCP03311,335,42,56,24,6,16,864,58,7,9,15,20
RCP03312,685,40,32,37,3,14,698,73,6,20,9,31
RCP03313,774,44,75,38,8,12,1232,16,31,57,24,14
RCP03314,687,31,37,32,4,11,1077,33,21,44,11,21
RCP03315,538,32,70,28,8,10,1402,83,8,26,13,36
RCP03316,488,39,68,19,6,3,1164,32,35,40,20,38
RCP03317,194,35,77,20,10,17,1315,0,39,7,20,35
RCP03318,727,18,65,11,14,9,1442,0,28,57,16,26
RCP03319,482,42,60,36,7,17,1117,0,7,54,9,33
RCP03320,259,17,69,19,7,5,891,32,24,41,17,28
RCP03321,756,49,44,35,7,5,831,63,23,15,28,23
RCP03322,383,8,34,14,7,17,743,74,29,32,18,31
RCP03323,576,49,45,20,6,2,1299,57,21,53,26,14
RCP03324,247,25,30,34,12,5,286,75,10,7,23,24
RCP03325,524,28,57,27,12,10,1281,55,36,18,25,33
RCP03326,316,5,62,25,8,6,1096,55,23,35,6,32
RCP03327,478,35,71,25,14,7,358,72,31,21,12,26
RCP03328,225,48,78,38,7,4,1448,62,15,46,11,36
RCP03329,684,27,34,27,2,6,1239,12,21,48,7,37
RCP03330,735,38,31,17,2,10,1113,88,34,35,11,36
RCP03331,477,23,33,26,2,16,674,0,8,49,24,39
RCP03332,515,14,63,28,3,12,405,68,19,56,29,38
RCP03333,715,47,38,28,2,13,945,61,29,52,9,32
RCP03334,399,19,68,23,13,10,1220,0,24,37,19,36
RCP03335,497,25,56,19,2,16,749,72,20,10,9,25
RCP03336,652,10,41,17,4,8,1233,9,35,8,20,35
RCP03337,362,45,78,32,5,5,485,14,38,5,10,30
RCP03338,553,5,43,20,3,8,1107,25,14,36,11,38
RCP03339,415,36,60,32,5,9,1474,5,38,24,12,38
RCP03340,232,35,56,34,5,11,335,93,37,21,19,11
RCP03341,213,29,49,30,13,11,460,52,5,31,29,38
RCP03342,381,7,77,23,12,13,1428,76,37,31,19,15
RCP03343,740,29,42,24,11,2,1220,73,26,7,8,17
RCP03344,296,30,51,32,11,2,677,0,37,37,16,18
RCP03345,643,13,44,23,14,15,676,87,18,55,8,25
RCP03346,636,25,37,38,13,7,735,0,32,59,12,22
RCP03347,239,44,57,20,11,12,946,40,31,22,27,38
RCP03348,456,5,62,17,7,3,1338,8,27,41,27,32
RCP03349,544,19,46,28,10,8,393,1,13,54,24,27
RCP03350,442,13,78,17,12,7,739,5,34,22,21,13
RCP03351,356,12,77,24,6,15,1367,0,7,37,8,20
RCP03352,265,49,65,33,11,8,466,0,13,33,24,15
RCP03353,176,46,74,29,11,7,899,12,6,54,15,16
RCP03354,319,37,67,26,4,12,275,4,26,43,10,12
RCP03355,246,18,35,24,11,12,402,52,38,45,24,10
RCP03356,528,21,74,31,8,8,535,41,12,17,17,20
RCP03357,222,26,38,33,9,2,403,12,36,46,8,25
RCP03358,411,45,58,37,3,10,257,52,12,35,29,20
RCP03359,689,37,60,27,8,3,1055,22,20,32,25,27
RCP03360,402,39,59,18,9,10,1344,12,11,53,13,14
RCP03361,151,16,61,25,4,11,392,0,21,18,5,24
RCP03362,403,15,41,11,8,3,453,0,25,17,22,19
RCP03363,661,37,67,27,7,11,886,82,14,13,26,22
RCP03364,623,36,67,38,10,17,953,14,16,59,13,35
RCP03365,786,42,53,38,8,13,1482,0,29,36,8,28
RCP03366,278,15,67,14,9,2,240,62,6,17,10,15
RCP03367,715,7,67,14,6,5,956,19,13,20,10,25
RCP03368,711,35,64,33,2,7,720,98,27,51,26,10
RCP03369,567,30,38,39,12,9,874,66,10,38,19,27
RCP03370,755,17,63,27,8,18,1351,0,19,23,16,20
RCP03371,457,26,67,37,10,8,447,0,6,17,29,33
RCP03372,408,45,78,20,10,4,1126,47,30,46,17,13
RCP03373,555,11,75,16,12,16,670,34,30,50,28,18
RCP03374,398,23,32,33,12,14,237,50,26,21,28,25
RCP03375,772,15,43,20,4,11,426,28,31,15,21,26
RCP03376,756,28,40,19,8,16,820,47,16,22,27,37
RCP03377,225,16,56,15,6,2,1411,36,28,28,16,10
RCP03378,226,25,76,24,14,15,800,93,17,50,9,22
RCP03379,583,6,71,29,13,14,412,26,13,26,8,34
RCP03380,535,22,57,25,8,2,522,99,5,20,24,17
RCP03381,740,15,41,14,5,11,681,56,18,46,26,32
RCP03382,288,21,42,29,4,2,1451,12,5,33,17,16
RCP03383,159,45,50,27,2,6,705,72,15,52,13,25
RCP03384,629,31,41,19,7,11,1378,63,8,24,28,33
RCP03385,339,45,64,25,6,14,1385,32,33,5,18,20
RCP03386,609,49,74,25,14,13,318,54,8,5,29,37
RCP03387,693,14,52,24,13,9,1439,61,35,16,19,10
RCP03388,510,33,53,19,12,18,1499,21,7,24,27,21
RCP03389,550,28,64,29,7,16,568,8,23,36,20,15
RCP03390,338,12,59,11,14,18,1480,42,9,24,16,29
