code,name,scie,desc
"D002","Bamboo shoot, tender","Bambusa vulgaris","A. Bahgaj; B. Bansber ankur; E. Bamboo sprouts; G. Lilo vans; H. Baans; Kan. Baimbale, Kanile; Kh. Ka lung siej; Mal. Mulankoombu; M. Soidon; Mar. Kalkipan; O. Bhet ki lakdi; P. Baans; Tam. Moongil kuruthu; Tel. Veduru chiguru; U. Bhet ki lakdi."
"D003","Bean scarlet, tender","Phaseolus coccineus","A. Lesera mah; E. Runner bean, Scarlet runner bean, Multiflora bean; G. Chodi; H. Sem; Kash. Hyambi; Kh. U buri; M. Hawai Ashaangbi; P. Sem fali."
"D004","Bitter gourd, jagged, teeth ridges, elongate","Momordica charantia","A. Kerela; B. Korola; E. Bitter melon, Bitter squash, Balsam pear; G. Karela; H. Karela; Kan. Hagal kai; Kash. Karela; Kh. Kerela heh; Mal. Kaippakka; M. Karon Akhabi; Mar. Karle ; N. Tite karela; O. Kalara; P. Karela; S. Tillikaa; Tel. Kakara kaya; Tam. Paavakkai; U. Karela."
"D005","Bitter gourd, jagged, teeth ridges, short","Momordica charantia","A. Kerela; B. Uchhe; E. Bitter melon, Bitter squash, Balsam pear; G. Marela; H. Karela; Kan. Hagal kai; Kash. Karela; Kh. Kerela rit; Mal. Kaippakka; M. Karon Akhabi; Mar. Karle; N. Tite karela; O. Kalara; P. Karela; S. Tillikaa; Tam. Paavakkai; Tel. Kakara kaya; U. Karela."
"D006","Bitter gourd, jagged, smooth ridges, elongate","Momordica charantia","A. Kerela; B. Korola; E. Bitter melon, Bitter squash, Balsam pear; G. Karela; H. Karela; Kan. Hagal kai; Kash. Karela; Kh. Kerela; Mal. Kaippakka; M. Karon Akhabi; Mar. Karle; N. Tite karela; O. Kalara; P. Karela; S. Tillikaa; Tam. Paavakkai; Tel. Kakara kaya; U. Karela."
"D007","Bottle gourd, elongate, pale green","Lagenaria vulgaris","A. Jatilao; B. Lau; E. Calabash, White flowered gourd; G. Dudhi; H. Lowki; Kan. Sorekai; Kash. Zeeth aal; Kh. U klong; Mal. Cheranga; M. Khongdrum; Mar. Pandhara; N. Lauka; O. Lau; P. Kadu; S. Kaarabellam; Tam. Suraikkai; Tel. Sorrakaya; U. Lowki."
"D008","Bottle gourd, round, pale green","Lagenaria vulgaris","A. Jatilao; B. Lau; E. Calabash, White flowered gourd; G. Dudhi; G. Dudhi; H. Lowki; Kan. Sorekai; Kash. Gool aal; Kh. U klong heh; Mal. Cheranga; M. Khongdrum; Mar. Pandhara; N. Lauka; O. Lau; P. Kdu; S. Kaarabellam; Tam. Suraikkai; Tel. Sorrakaya; U. Lowki."
"D009","Bottle gourd, elongate, dark green","Lagenaria vulgaris","A. Jatilao; B. Lau; E. Calabash, White flowered gourd; G. Dudhi; G. Dudhi; H. Lowki; Kan. Sorekai; U. Lowki; Kash. Zeth aal; Kh. Klong jrong; Mal. Cheranga; M. Khongdrum; Mar. Pandhara; N. Lauka; O. Lau; P. Kadu; S. Kaarabellam; Tam. Suraikkai; Tel. Sorrakaya."
"D010","Brinjal 1","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D011","Brinjal 2","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D012","Brinjal 3","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D013","Brinjal 4","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D014","Brinjal 5","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan"
"D015","Brinjal 6","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan"
"D016","Brinjal 7","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan"
"D017","Brinjal 8","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D018","Brinjal 9","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D019","Brinjal 10","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D020","Brinjal 11","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D021","Brinjal 12","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D022","Brinjal 13","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D023","Brinjal 14","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D024","Brinjal 15","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D025","Brinjal 16","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D026","Brinjal 17","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D027","Brinjal 18","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D028","Brinjal 19","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D029","Brinjal 20","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D030","Brinjal 21","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D031","Brinjal - all varieties","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan."
"D032","Broad beans","Vicia faba","A. Urahi; B. Makhon shim; E. Fava bean, Faba bean, Field bean, Bell bean, Tic bean; G. Fafda papdi; H. Bakla; Kan. Chkaooaradavare; Kash. Thool Haymbe; Kh. Ri majai; Mal. Amarakka; Mar. Ghewda; O. Simba; Tam. Avarai; Tel. Pedda chikkudu."
"D033","Capsicum, green","Capsicum annuum","A. Kashmiri jalakia; B. Lanka (bilathi); G. Bhuler marcha; H. Shimla mirch; Kan. Donnmena-sinakayi; Kash. Shimla marchwangan; Kh. Sohmynken jhur jyrngam; Mal. Undamulagu; Mar. Bhoplimirchi; O. Shimla Lanka; P. Shimle-di-mirchi; Tam. Koda milagai; Tel. Shimla mirchi; U. Shimla mirchi."
"D034","Capsicum, red","Capsicum annuum","A. Kashmiri jalakia; B. Lanka (bilathi); G. Bhuler marcha; H. Shimla mirch; Kan.  Donnmena- sinakayi; Kash.  Shimla marchwangan; Kh. Sohmynken jhur jyrngam; Mal. Undamulagu; Mar. Bhoplimirchi; O. Shimla Lanka; P. Shimle-di-mirchi; Tam. Koda milagai; Tel. Shimla mirchi; U. Shimla mirchi."
"D035","Capsicum, yellow","Capsicum annuum","A. Kashmiri jalakia; B. Lanka (bilathi); G. Bhuler marcha; H. Shimla mirch; Kan.  Donnmena-sinakayi; Kash. Shimla marchwangan; Kh. Sohmynken jhur stem; Mal. Undamulagu; Mar. Bhoplimirchi; O. Shimla Lanka; P. Shimle-di-mirchi; Tam. Koda milagai; Tel. Shimla mirchi; U. Shimla mirchi."
"D036","Cauliflower","Brassica oleracea var. botrytis","A. Phul kobi; B. Phul kopi; G. Fulawar; H. Phul gobi; Kan. Hukosu; Kash. Phoolgobi; Kh. Phul kubi; Mal. Cauliflower; M. Kobithamchetmai; Mar. Phul gobi; N. Kauli; O. Phul Kobi; P. Phul gobi; S. Gojihvaa; Tam. Pookosu; Tel. Go puvvu; U. Phul gobi."
"D037","Celery stalk","Apium graveolens","B. Randhuni; H. Ajmud; Kh. Dieng seleri; G. Celery daandi; Tam. Sivarikkeerai."
"D038","Cho-cho-marrow","Sechium edule","A. Squash; E. Cho cho marrow, Chayote; H. Cho-cho-marrow; Kan. Cho-cho-marrow; M. Dasakusa; Mal. Cho-cho-marrow; Mar. Cho cho sara; O. Phuti kakudi; Kh. Biskot; Tam. Chow-chow."
"D039","Cluster beans","Cyamopsis tetragonobola","A. Mah; B. Jhar sim; E. Guar; G. Govar; H. Gaur-ki-phalli; Kan. Gori koyi; Kash. Hyambi; Mal. Kothavara; Mar. Govari; O. Guanra chhuin; P. Guarae-di-faliya; Tam. Kothavaranga; Tel. Goruchikkudu; U. Gavar ki palli."
"D040","Colocasia, stem, black","Colocasia esculenta","A. kosu thari; B. Kochur loti; H. Arwi-ki-dandi; Kan. Kesu danthu; Kh. Kawang iong; Mal. Chembin thandu; M. Paan Makhok; Mar. Alu-che-dath; O. Sarunada; P. Arbi de dande; Tam. Seppanthandu; Tel. Chama kada; U. Arwi ke kade."
"D041","Colocasia stem, green","Colocasia esculenta","A. Kosu thari; B. Kochur loti; H. Arwi-ki-dandi; Kan. Kesu danthu; Kh. Ka wang jyrngam; Mal. Chembin thandu; M. Paan Makhok; Mar. Alu-che-dath; O. Sarunada; P. Arbi de dande; Tam. Seppanthandu; Tel. Chama kada; U. Arwi ke kade."
"D042","Corn, baby","Zea mays","Kash. Makai; Kh. Riewhadem lung; M. Chujaak; P. Shoti shalli."
"D043","Cucumber green, elongated","Cucumis sativus","A. Tiyoh; B. Sosha; G. Kakdi; H. Kheera, Kachumbar; Kan. Southe kayi; Kash. Laar; Kh. Sohkhia; Mal. Vellarikka; M. Thabi; Mar. Kakadi; N. Kakro; O. Kakudi; P. Khira; S. Patolah; Tam. Vellarikkai; Tel. Dosa kaya; U. Kheera."
"D044","Cucumber green, short","Cucumis sativus","A. Tiyoh; B. Sosha; G. Kakdi; H. Kheera, Kachumbar; Kan. Southe kayi; Kash. Laar; Kh. Sohkhia; M. Thabi; Mal. Vellarikka; Mar. Kakadi; N. Kakro; O. Kakudi; P. Khira; S. Patolah; Tam. Vellarikkai; Tel. Dosa kaya; U. Kheera."
"D045","Cucumber orange, round","Cucumis sativus","A. Tiyoh; B. Sosha; G. Kakdi; H. Kakadi; Kan. Southe kayi; Kash. Laar; Kh. Sohkhia pyllon; Mal. Vellarikka; Mar. Kakadi; N. Kakro; O. Kakudi; P. Khira; S. Patolah; Tam. Vellarikkai; Tel. Dosa kaya; U. Kheera."
"D046","Drumstick","Moringa oleifera","A. Sajina; B. Sajna danta; E. Horseradish, Benzoil; G. Saragavo; H. Saijan-ki-phalli; Kan. Nugga kayi; Kh. Dieng sajana; Mal. Muringakkai; M. Sajana; Mar. Shevanga sheng; O. Sajana chhuin; P. Suhanjana di phalliya; Tam. Murungakkai; Tel. Mulakaada; U. Sujne ki palli."
"D047","Field beans, tender, broad","Phaseolus vulgaris","A. Urohi; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Hyambi; Kh. Ri majai; Mal. Avar; Mar. Papta; O. Baragudi; Tam. Vidaiavarai; Tel. Chikkudu ginjalu; U. Sem ki palli."
"D048","Field beans, tender, lean","Phaseolus vulgaris","A.Urohi; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Hyambi; Kh. Ri majai; Mal. Avar; Mar. Papta; O. Baragudi; Tel. Chikkudu ginjalu; Tam. Vidaiavarai; U. Sem ki palli."
"D049","French beans, country","Phaseolus vulgaris","A. French bean; E. Green beans; G. Fansi; H. Bakla; Kan. Huruli kayi; Kash. Hyambi; Kh. Presbin phyrngop; Mal. Beans; Mar. Pharasebee; N. Ghiu Simi; O. Beans; P. Fras bean; Tam. Vidaiavarai; Tel. Sannachikkudu; U. Beans."
"D050","French beans, hybrid","Phaseolus vulgaris","A. French bean; E. Green beans; G. Fansi; H. Bakla; Kan. Huruli kayi; Kash. Hyambi; Kh. Presbin; Mal. Beans; Mar. Pharasebee; N. Ghiu Simi; O. Beans; P. Fras bean; Tam. Vidaiavarai; Tel. Sannachikkudu; U. Beans."
"D051","Jack fruit, raw","Artocarpus heterophyllus","A. Kothal; B. Kanthal; E. Jackfruit; G. Phanas; H. Kathal; Kash. Bindu; Kan. Halasu; Kh. Soh phan; M. Theibong; Mal. Chakka; Mar. Phanas; N. Katahar; O. Panasa; P. Kathal ki beej; S. Panasa; Tam. Palapazham; Tel. Panasa; U. Kathahal."
"D052","Jack fruit, seeds, mature","Artocarpus heterophyllus","A. Kothal guti; B. Kanthal; E. Jackfruit; G. Phanas; H. Kathal; Kan. Halasu; Kash. Bindu; Kh. Shyieng soh phan; Mal. Chakka; M. Theibong Maru; Mar. Phanas; N. Katahar; P. Kathal; S. Panasa; Tam. Palakkottai; Tel. Panasa; U. Kathahal."
"D053","Knol - Khol","Brassica oleracea","A. Oolkobi; B. Olkopi; E. Wild cabbage; G. Nol-kol; H. Kohl-rabi; Kan. Noolkol; Kash. Monjh haak; Kh. Phan kubi; Mal. Noolkol; M. Kobi Maru Kabi; Mar. Nol-kol; N. Gyathkopi; O. Ulkobi; P. Ganth gobi; Tam. Knoolkol; Tel. Noolkol."
"D054","Kovai, big","Coccinia cordifolia","A. Kunduli; B. Telakucha; E. Ivy gourd, Scarlet gourd; G. Ghole gluru; H. Konduri, Kowai; Kan. Tondekayi; Kh. Jhur thliem; Mal. Kova kai; Mar. Tondale; O. Kunduru; Tam. Kova kai; Tel. Donda kaya; U. Tindli."
"D055","Kovai, small","Coccinia cordifolia","A. Kunduli; B. Telakucha; E. Ivy gourd, Scarlet gourd; G. Ghole gluru; H. Konduri, Kowai; Kan. Tondekayi; Kh. Jhur thliem; Mal. Kova kai; Mar. Tondale; O. Kunduru; Tam. Kova kai; Tel. Donda kaya; U. Tindli."
"D056","Ladies finger","Abelmoschus esculentus","A. Bhendi; B. Dherosh; E. Okra, Okro, Ochro; G. Bhinda; H. Bhindi; Kan. Bende; Kash. Bindi; Kh. bindi; Mal. Vendakkai; M. Belandri; Mar. Bhendi; N. Ramtoriya; O. Bhendi; P. Bhindi; S. Bhindikaa; Tam. Vendaikkai; Tel. Bendakaya; U. Bhendi."
"D057","Mango, green, raw","Mangifera indica","A. Keasa aam; B. Aam (kancha); G. Ambo; H. Katcha Aam; Kan. Mavinakayi; Kash. Kach Aamb; Kh. Soh pieng im; Mal. Manga; M. Heinou Ashangba; Mar. Amba; O. Ambu (kacha); P. Kaccha aam; Tam. Mangai; Tel. Mamidikaya; U. Kaccha aam."
"D058","Onion, stalk","Allium wakegi","A. Piyaj paat; B. Piyaz kali; E. Spring onion, Onion greens; G. Dunglina dakkadi (Onion dakkadi); H. Pyaz; Kan. Erulli soppu; Kash. Pichiganda; Kh. Sla piat; Mal. Ulli thandu; M. Tilhou mana; Mar. Pati; N. Chhayapi ko Saag; O. Piaja sandha; P. Hare pyaaz; Tam. Vengaya thaal; Tel. Ulli kadalu; U. Hari pyaaz."
"D059","Papaya, raw","Carica papaya","A. Kesa omita; B. Pempe (Kacha); E. Papaw, Pawpaw; G. Papayi; H. Katcha pepita; Kan. Parangi; Kh. Soh kymphor im; Kash. Papita; Kon. Dudde; Mal. Omakaya; M. Awathabi Ashangba; Mar. Papaya; O. Amrutabhanda; P. Katcha Pepita; Tam. Pappalikkaai; Tel. Boppayi kaya; U. Papaya."
"D060","Parwar","Trichosanthes dioica","A. Potol; B. Potol; E. Pointed gourd; G. Padval; H. Parwal; Kan. Mara thonde; Kh. Patol rit; Mal. Kovakkai; Mar. Parwar; O. Potala; P. Parwal; Tel. Kommu potla; U. Parwal."
"D061","Peas, fresh","Pisum sativum","A. Matar mah; B. Motor shuti; G., Mar. Vatana; Kash. Kaza; O. Matara; H. Matar; Kan., Tel. Batani; Kash. Matar; Kh. Mator; M. Hawai tharaak; P. Hare matar; Mal., Tam. Paccha pattani."
"D062","Plantain, flower","Musa sapientum","A. Koldil; B. Mocha; E. Banana flower; G. Kel phool; H. Kele-ka phool; Kan. Bale motho; Kh. Pashor kait; Mal. Vazhapoo; M. Lafu Tharo; Mar. Kel phool; O. Kadali bhanda; P. Kele-da-phool; Tam. Vazhapoo; Tel. Arati puvvu; U. Kela ka phool."
"D063","Plantain, green","Musa sapientum","A. Kaskol/Purakol; B. Kela (kanch); E. Cooking banana; G. Kela; H. Kele (hara); Kan. Bale kayi; Kash. Kham kael; Kh. Kait im; Mal. Vazhakkai; M. Laphoi Ashangba; M. Laphoi Ashangba; Mar. Kel (hara); N. Bungo; O. Bantala kadali; P. Kela (hara); S. Rambhaa ; Tam. Vazhakkaai; Tel. Arati kayi; U. Kaccha kela."
"D064","Plantain, stem","Musa sapientum","A. Posola; B. Thor; E. Banana stem; G. Kelanu thed; H. Kele-ka-tana; Kan. Bele Dindu; Kh. Nud kait; Mal. Unnipindi; M. Lafu; Mar. Kelicha khunt; O. Kadali manja; P. Kele da tana; Tam. Vazhai thandu; Tel. Arati doota."
"D065","Pumpkin green, cylindrical","Cucurbita maxima","A. Rongalao; B. Kumro; G. Kohlu; H. Kaddu; Kan. Kumbala kash; Kash. Paarimal; Kh. Pathaw; Mal. Mathan; M. Mairen; Mar. Lal bhopla; N. Farsi; O. Kakharu; P. Kaddu; S. Kummaandah; Tam. Parangikkai; Tel. Gummadi kaya; U. Kaddu."
"D066","Pumpkin orange, round","Cucurbita maxima","A. Rongalao; B. Kumro; G. Kohlu; H. Kaddu; Kan. Kumbala kash; Kash. Paarimal; Kh. Pathaw saw; Mal. Mathan; M. Mairen; Mar. Lal bhopla; N. Farsi; O. Kakharu; P. Kaddu; S. Kummaandah; Tam. Parangikkai; Tel. Gummadi; U. Kaddu."
"D067","Red gram, tender, fresh","Cajanus cajan","E. Pigeon pea; H. Arhar ki fali; Tam. Thuvarai; Tel. Pacchi Kandulu; U. Hara tuvar."
"D068","Ridge gourd","Luffa acutangula","A. Jikaa; B. Jhinge; E. Luffa, Loofah; G. Turia; H. Torai; Kan. Heeraikai; Kash. Turrel ; Kh. Jingka; Kon. Gurdudde; Mal. Peechinga; M. Sebot; Mar. Dodka; O. Janhi; P. Kali tori; Tam. Peerkankai; Tel. Beera kaya; U. Turai."
"D069","Ridge gourd, smooth skin","Luffa acutangula","A. Bhol; B. Jhinge; E. Luffa, Loofah; G. Turia; H. Torai; Kan. Heeraikai; Kash. Turrel; Kh. Jingka; Kon. Gurdudde; Mal. Peechinga; M. Sebot; Mar. Dodka; O. Janchi; P.  Kali tori; Tam. Peerkankai; Tel. Beera kaya; U. Turai."
"D070","Snake gourd, long, pale green","Trichosanthes anguina","A. Dhunduli; B. Chichinga; G. Pandola; H. Chachinda; Kan. Podavala; Kh. Jingka; Mal. Padavalanga; Mar. Padwal; N. Chichindo; O. Chachinda; P. Galartori; S. Cicinndda; Tam. Pudalangai; Tel. Potla kaya; U. Chichinda."
"D071","Snake gourd, long, dark green","Trichosanthes anguina","A. Dhunduli; B. Chichinga; G. Pandola; H. Chachinda; Kan. Podavala; Kh. Jingka; Mal. Padavalanga; Mar. Padwal; N. Chichindo; O. Chachinda; P. Galartori; S. Cicinndda; Tam. Pudalangai; Tel. Potla kaya; U. Chichinda."
"D072","Snake gourd, short","Trichosanthes anguina","A. Dhunduli; B. Chichinga; G. Pandola; H. Chachinda; Kan. Podavala; Kh. Jingka; Mal. Padavalanga; Mar. Padwal; N. Chichindo; O. Chachinda; P. Galartori; S. Cicinndda; Tam. Pudalangai; Tel. Potla kaya; U. Chichinda."
"D073","Tinda, tender","Praecitrullus fistulosus","E. Indian squash, Round melon, Indian round gourd, Apple gourd, Indian baby pumpkin; G. Tadabuch; H. Tinda; Kan. Thondekkai; Kash. Tinda; Mar. Dhemase; N. Tinda; P. Tinda; U. Tinde."
"D074","Tomato, green","Solanum lycopersicum","A. Kesa bilahi; B. Kacha Tomato; H. Tamator ; Kan. Goore Hannu; Kash. Rowagun; Kh. Soh saw jyrngam; Mal. Takkali; M. Khamen Ashinba; Mar. Hara velvangi; O. Bilati Baigan; P. Kaccha tamator; Tam. Thakkali kai; Tel. Ramamulagakaya; U. Kaccha tamatar."
"D075","Tomato, ripe, hybrid","Solanum lycopersicum","A. Poka bilahi; B. Tomato; G. Tameta; H. Tamator; Kan. Goore Hannu; Kash. Rowangun; Kh. Soh saw dkhar; Mal. Takkali pazham; M. Khamen ashinba; Mar. Velvangi; O. Bilati baigan; P. Pakke tamator; S. Rakta phalam; N. Gholobheda; Tam. Takkali pazham; Tel. Ramamulagakaya; U. Pakka tamatar."
"D076","Tomato, ripe, local","Solanum lycopersicum","A. Poka bilahi; B. Tomato; G. Tameta; H. Tamator; Kan. Goore Hannu; Kash. Rowangun; Mal. Takkali pazham; M. Khamen ashinba; Mar. Velvangi; N. Gholobheda; O. Bilati Baigan; P. Pakke tamator; S. Rakta phalam; Kh. Soh saw khasii; Tam. Takkali pazham; Tel. Ramamulagakaya; U. Pakka tamatar."
"D077","Zucchini green","Cucurbita pepo","B. Dhudul; E. Courgette, Summer squash; H. Sabed kaddu; Kan. Dilpasand; Kash. Kaashiral; Mar. Kashi bhopla; O. Golu phubi kakuri; Tam. Seemai suraikayi."
"D078","Zucchini, yellow","Cucurbita pepo","B. Dhudul; E. Courgette, Summer squash; H. Sabed kaddu; Kan. Dilpasand; Kash. Kaashiral; Mar. Kashi bhopla; O. Golu phubi kakuri; Tam. Seemai suraikayi."
"E001","Apple, big","Malus domestica","A. Apel; B. Sev; G. Safarjan; H. Sev; Kan. Sebu; Kash. Tsoonth; Kh. Soh apple saw; Mal., Tam. Apple pazham; M. Sem; Mar. Safar chand; N. Shau; O. Sev; P. Seb; S. Seva; Tel. Sepu/Sema regu; U. Saib."
"E002","Apple, green","Malus domestica","A. Apel; B. Sev; G. Lila safarjan; H. Sev; Kan. Sebu; Kash. Tsoonth; Kh. Soh apple Jyrngam; Mal. Apple pazham; M. Sem; Mar. Safar chand; N. Shau; O. Sev; P. Seb; S. Seva; Tam. Apple pazham; Tel. Sepu/Sema regu; U. Saib."
"E003","Apple, small","Malus domestica","A. Apel; B. Sev; G. Safarjan; H. Sev; Kan. Sebu; Kash. Tsoonth; Kh. Soh apple saw; Mal. Apple pazham; M. Sem; Mar. Safar chand; N. Shau; O. Sev; P. Seb; S. Seva; Tam. Apple pazham; Tel. Sepu/Sema regu; U. Saib."
